City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Alofi,NU,2020-07-14 15:16:54,-19.06,-169.92,71.6,68,75,10.29
70,Bengkulu,ID,2020-07-14 15:16:54,-3.8,102.27,78.78,80,99,9.42
71,Hithadhoo,MV,2020-07-14 15:16:54,-0.6,73.08,85.64,67,43,3.04
72,Smirnykh,RU,2020-07-14 15:16:54,49.75,142.83,52.59,94,89,3.09
73,Ancud,CL,2020-07-14 15:16:55,-41.87,-73.82,42.01,100,90,4.7
74,Hobart,AU,2020-07-14 15:12:11,-42.88,147.33,46.4,81,90,5.82
75,Katsuura,JP,2020-07-14 15:16:55,35.13,140.3,73.4,94,75,11.41
76,Ugoofaaru,MV,2020-07-14 15:16:55,5.67,73.0,84.36,74,100,5.66
77,Fortuna,US,2020-07-14 15:16:55,40.6,-124.16,54.0,93,90,3.2
78,Belaya Gora,RU,2020-07-14 15:16:55,68.53,146.42,56.84,53,100,10.74
79,Tiksi,RU,2020-07-14 15:16:56,71.69,128.87,39.65,82,26,1.72
80,Esperance,AU,2020-07-14 15:16:56,-33.87,121.9,46.4,81,0,9.17
81,Torbay,CA,2020-07-14 15:16:56,47.67,-52.73,73.0,93,90,10.29
82,Porto Santo,PT,2020-07-14 15:16:56,33.07,-16.34,75.2,69,40,18.34
83,New Norfolk,AU,2020-07-14 15:16:56,-42.78,147.06,46.0,87,26,1.86
84,Port-Cartier,CA,2020-07-14 15:16:56,50.03,-66.87,64.4,48,20,8.05
85,Togur,RU,2020-07-14 15:16:57,58.36,82.83,60.58,68,5,9.37
86,Salalah,OM,2020-07-14 15:16:57,17.02,54.09,82.4,88,90,8.05
87,Serenje,ZM,2020-07-14 15:16:57,-13.23,30.24,70.0,33,2,7.7
88,Westport,US,2020-07-14 15:16:57,41.14,-73.36,81.0,54,1,11.41
89,Impfondo,CG,2020-07-14 15:16:57,1.64,18.07,87.26,51,30,3.67
90,Chifeng,CN,2020-07-14 15:16:57,42.27,118.96,70.3,70,93,1.61
91,Humaita,BR,2020-07-14 15:16:57,-7.51,-63.02,93.88,46,0,1.86
92,Narsaq,GL,2020-07-14 15:16:58,60.92,-46.05,50.0,81,75,8.05
93,Aksu,CN,2020-07-14 15:16:58,41.12,80.26,77.85,38,100,1.3
94,Dongsheng,CN,2020-07-14 15:16:58,39.82,109.98,76.44,39,55,3.58
95,Samandag,TR,2020-07-14 15:16:58,36.08,35.98,87.8,58,20,20.8
96,Usogorsk,RU,2020-07-14 15:16:58,63.41,48.69,61.97,94,98,3.24
97,Bluff,NZ,2020-07-14 15:16:59,-46.6,168.33,39.0,83,50,3.0
98,Arraial Do Cabo,BR,2020-07-14 15:16:59,-22.97,-42.03,75.2,83,75,9.17
99,Upernavik,GL,2020-07-14 15:16:59,72.79,-56.15,41.27,86,100,17.65
