City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
71,Warqla,not found,30.48,-115.95,0.0,0,0,0.0,no weather description,0.0,0
72,Marcona,not found,30.48,-115.95,0.0,0,0,0.0,no weather description,0.0,0
73,Bushenyi,UG,-0.59,30.21,59.72,79,97,1.43,overcast clouds,0.0,0
74,Port Lincoln,AU,-34.73,135.87,58.78,52,0,17.22,clear sky,0.0,0
75,Grand-Lahou,CI,5.14,-5.02,73.99,84,68,9.91,broken clouds,0.0,0
76,Tsihombe,not found,5.14,-5.02,0.0,0,0,0.0,no weather description,0.0,0
77,Bandarbeyla,SO,9.49,50.81,81.19,60,100,23.2,overcast clouds,0.0,0
78,Suluq,LY,31.67,20.25,69.3,59,0,4.76,clear sky,0.0,0
79,New Norfolk,AU,-42.78,147.06,48.99,92,100,0.36,overcast clouds,0.0,0
80,Yellowknife,CA,62.46,-114.35,55.4,93,90,16.11,light rain,0.0,0
81,Qaanaaq,GL,77.48,-69.36,41.5,81,100,7.67,overcast clouds,0.0,0
82,Victoria,HK,22.29,114.16,90.0,66,16,11.99,few clouds,0.0,0
83,Berlevag,NO,70.86,29.09,46.54,78,100,6.17,overcast clouds,0.0,0
84,Narsaq,GL,60.92,-46.05,48.2,81,100,4.7,overcast clouds,0.0,0
85,Amderma,not found,60.92,-46.05,0.0,0,0,0.0,no weather description,0.0,0
86,Avarua,CK,-21.21,-159.78,73.4,60,29,12.75,scattered clouds,0.0,0
87,Tazovskiy,RU,67.47,78.7,47.07,71,90,13.18,overcast clouds,0.0,0
88,Norman Wells,CA,65.28,-126.83,75.2,36,40,10.29,shower rain,0.0,0
89,Hilo,US,19.73,-155.09,82.4,65,90,9.17,overcast clouds,0.0,0
90,Aykhal,RU,66.0,111.5,69.8,49,100,4.47,smoke,0.0,0
91,Buon Me Thuot,not found,66.0,111.5,0.0,0,0,0.0,no weather description,0.0,0
92,Buala,SB,-8.14,159.59,84.88,70,81,5.88,moderate rain,1.14,0
93,Kavieng,PG,-2.57,150.8,85.1,62,100,5.79,overcast clouds,0.0,0
94,Cidreira,BR,-30.18,-50.21,44.89,70,0,10.0,clear sky,0.0,0
95,Deputatskiy,RU,69.3,139.9,57.42,51,94,10.33,overcast clouds,0.0,0
96,Airai,TL,-8.93,125.41,68.83,67,3,5.26,clear sky,0.0,0
97,Spring Valley,US,36.11,-115.25,104.0,4,20,17.22,few clouds,0.0,0
98,Fort Wellington,GY,6.4,-57.6,77.77,85,2,5.86,light rain,0.17,0
99,Victor Harbor,AU,-35.57,138.62,50.0,94,100,6.73,overcast clouds,0.0,0
100,Vaitape,PF,-16.52,-151.75,79.48,78,1,5.7,moderate rain,1.8,0
101,Lagoa,PT,39.05,-27.98,68.86,80,0,6.69,clear sky,0.0,0
102,Yingcheng,CN,30.95,113.55,73.4,94,40,8.95,light intensity shower rain,0.0,0
103,Hasaki,JP,35.73,140.83,72.0,100,75,5.82,light intensity shower rain,0.0,0
104,Vaini,TO,-21.2,-175.2,75.2,73,75,12.75,broken clouds,0.0,0
105,Kilindoni,TZ,-7.91,39.67,76.84,78,32,14.23,scattered clouds,0.0,0
106,Los Llanos De Aridane,ES,28.66,-17.92,71.6,78,40,20.8,scattered clouds,0.0,0
107,Jiroft,not found,28.66,-17.92,0.0,0,0,0.0,no weather description,0.0,0
108,Maryborough,AU,-25.53,152.7,64.99,53,0,8.99,clear sky,0.0,0
109,Esperance,AU,-33.87,121.9,46.4,87,0,9.17,clear sky,0.0,0
110,Kapaa,US,22.08,-159.32,82.4,74,75,14.99,broken clouds,0.0,0
111,Kaitangata,NZ,-46.28,169.85,48.99,89,39,1.99,scattered clouds,0.0,0
112,Matara,LK,5.95,80.54,81.34,85,75,9.57,light rain,0.48,0
113,Swan River,CA,52.11,-101.27,59.16,83,69,14.99,broken clouds,0.0,0
114,Firozpur Jhirka,IN,27.8,76.95,91.49,51,0,7.38,clear sky,0.0,0
